,designation,code,logD_median,delta_D,logT1_median,eps_median,eps_W1W2_median,eps_W1_median,eps_W2_median,p_median,p_W1W2_median,p_W1_median,p_W2_median
0,25916,run0,3.6903094589212966,0.0,2.5867564096036624,0.8765090620729329,,,,0.3215581526094507,,,
1,25916,run1,3.6818112086326975,-1.937773489676759,2.588534362134335,,0.8738544650183442,,,,0.3284704600153607,,
2,25916,run3a,3.701769725384928,2.673949113032205,2.585377143433552,,0.884483510510486,,,,0.3007934799079337,,
3,25916,run4a,3.6834127933250382,-1.57547344624307,2.5895146592991485,,0.8772493722891084,,,,0.3196304582420155,,
4,25916,run4b,3.6645082053173725,-5.767926743764677,2.6011498443930052,,,0.900322908681712,0.669546855816926,,,0.25954925826801856,0.8604672079683297
