full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"  1977 Shura (1970 QY)",2.780010081050968,.07355661730560198,7.766144332219712,332.2432216904127,310.5481519374284,2.575521943413387,2.98449821868855,4.63529905220834,23805,0,2373,,,11.6,17.211,,0.150,7.461,,,,,Sq,
"  2294 Andronikov (1977 PL1)",2.581423860005031,.1164546715795287,6.299887375018304,290.8193435292026,43.15693541856388,2.280804992180586,2.882042727829476,4.14760302088366,27023,0,2150,,,11.7,15.404,,0.195,3.1529,,,,,,
"  2407 Haug (1973 DH)",2.920365979535896,.2219145478254269,2.473333626363762,342.206465951927,10.06202400659554,2.272294283702428,3.568437675369364,4.9907305519085,41049,0,2323,,,10.77,22.461,,0.172,6.162,,.701,.252,,,C
"  2573 Hannu Olavi (1953 EN)",3.015706114707319,.1057094579789688,12.96837117582858,54.10967594857748,148.0991686428603,2.696917455897747,3.334494773516892,5.23711037669674,32075,0,1598,,,11.5,20.200,,0.119,4.9355,,,,,,
"  2904 Millman (1981 YB)",2.603042842865442,.1393548561756699,15.3937855664867,79.50443361553876,332.2095487321536,2.240296181878822,2.965789503852063,4.19981515571278,21153,0,1852,,,11.8,15.460,,0.169,12.6603,,,,,,
"  4813 Terebizh (1977 RR7)",3.121102731237594,.1031901998741229,11.85809813447098,20.9448548222109,295.6363305256103,2.799035516573516,3.443169945901672,5.51404489584129,15217,0,1909,,,12.2,17.873,,0.088,,,,,,,
