,designation,code,logD_median,delta_D,logT1_median,eps_median,eps_W1W2_median,eps_W1_median,eps_W2_median,p_median,p_W1W2_median,p_W1_median,p_W2_median
0,54789,run0,3.240281612415027,0.0,2.557875782973586,0.7407551466650286,,,,0.6750478821460939,,,
1,54789,run1,3.166175958894854,-15.687038057461946,2.5752701833009044,,0.6528176392654907,,,,0.9040284284042778,,
2,54789,run3a,3.196969625852995,-9.49178216568838,2.570997734156183,,0.6947375946592909,,,,0.7948730228322352,,
3,54789,run4a,3.176547205430563,-13.649353584747868,2.576045887054325,,0.6668803767756639,,,,0.8674104548888967,,
4,54789,run4b,3.1843216399672594,-12.089646270334296,2.5714406990941736,,,0.6727725094239296,0.8344944704491886,,,0.8520679259462051,0.4309599815367743
