full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"   497 Iva (1902 KJ)",2.851460865290914,.3003350029057925,4.819987652186493,6.314226793187354,3.567704750871954,1.995067358028014,3.707854372553815,4.81514451023633,42558,0,2508,,,10.02,40.932,,0.119,4.620,,.696,.245,,,M
"   844 Leontina (1916 AP)",3.202672170762038,.0690467704766366,8.777223620945108,348.7013307948308,352.9367691423143,2.981538000475521,3.423806341048556,5.73161395421683,42679,0,3296,,,9.6,42.154,,0.173,6.7859,,,,,X,
"  1349 Bechuana (1934 LJ)",3.012691506184409,.1561771300621976,10.05149914045096,307.0917227586663,305.3414819885037,2.542177992985768,3.48320501938305,5.22925953308191,30812,0,2356,,,10.4,24.249,,0.150,15.692,,,,,,
"  1546 Izsak (1941 SG1)",3.173221602960202,.1254805525806029,16.11521291902142,190.3425369212322,280.7836417951819,2.775044002760049,3.571399203160355,5.65273733529028,30573,0,2347,,,10.7,26.438,,0.133,7.350,,,,,,
"  1670 Minnaert (1934 RZ)",2.900807645242543,.1046039264646352,10.50856450781652,59.12418233715967,20.09178607958631,2.597371775631541,3.204243514853546,4.94067855598249,32059,0,1566,,,11.38,21.333,,0.111,3.528,,.660,,,,
"  1730 Marceline (1936 UA)",2.786306653599706,.2222591360877037,9.48623998603156,171.1684693926302,226.3973826336851,2.167024543895215,3.405588763304197,4.65105601862679,32015,0,2170,,,11.9,15.203,,0.192,3.837,,,,,Xe,
"  1732 Heike (1943 EY)",3.012872935753818,.1113401323952291,10.7759758920154,155.6160883090195,211.6277403480655,2.677419264196985,3.34832660731065,5.22973191297231,41127,0,2244,,,10.9,22.378,,0.128,4.742,,,,,,
"  1860 Barbarossa (1973 SK)",2.567836715097749,.2010366024461793,9.918296342723616,132.8624567147878,162.0628183280153,2.05160754625794,3.084065883937558,4.1149002177877,39142,0,2384,,,11.6,16.800,,0.152,3.255,,,,,X,
